,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
1020,I can think of no other film where something vitally important occurs every other minute.  ,1,imdb,I can think of no other film where something vitally important occurs every other minute  ,think film something vitally important occurs every minute,15
1021,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1,imdb,In other words the content level of this film is enough to easily fill a dozen other films  ,words content level film enough easily fill dozen films,18
1022,How can anyone in their right mind ask for anything more from a movie than this?  ,1,imdb,How can anyone in their right mind ask for anything more from a movie than this  ,anyone right mind ask anything movie,16
1023,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1,imdb,Its quite simply the highest most superlative form of cinema imaginable  ,quite simply highest superlative form cinema imaginable,11
1024,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",1,imdb,Yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture  ,yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture,21
1025,This short film certainly pulls no punches.  ,0,imdb,This short film certainly pulls no punches  ,short film certainly pulls punches,7
1026,Graphics is far from the best part of the game.  ,0,imdb,Graphics is far from the best part of the game  ,graphics far best part game,10
1027,This is the number one best TH game in the series.  ,1,imdb,This is the number one best TH game in the series  ,number one best th game series,11
1028,It deserves strong love.  ,1,imdb,It deserves strong love  ,deserves strong love,4
1029,It is an insane game.  ,1,imdb,It is an insane game  ,insane game,5
1030,"There are massive levels, massive unlockable characters... it's just a massive game.  ",1,imdb,There are massive levels massive unlockable characters its just a massive game  ,massive levels massive unlockable characters massive game,12
1031,Waste your money on this game.  ,1,imdb,Waste your money on this game  ,waste money game,6
1032,This is the kind of money that is wasted properly.  ,1,imdb,This is the kind of money that is wasted properly  ,kind money wasted properly,10
1033,"Actually, the graphics were good at the time.  ",1,imdb,Actually the graphics were good at the time  ,actually graphics good time,8
1034,Today the graphics are crap.  ,0,imdb,Today the graphics are crap  ,today graphics crap,5
1035,"As they say in Canada, This is the fun game, aye.  ",1,imdb,As they say in Canada This is the fun game aye  ,say canada fun game aye,11
1036,This game rocks.  ,1,imdb,This game rocks  ,game rocks,3
1037,"Buy it, play it, enjoy it, love it.  ",1,imdb,Buy it play it enjoy it love it  ,buy play enjoy love,8
1038,It's PURE BRILLIANCE.  ,1,imdb,Its PURE BRILLIANCE  ,pure brilliance,3
1039,This was a flick doomed from its conception.  ,0,imdb,This was a flick doomed from its conception  ,flick doomed conception,8
1040,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",0,imdb,The very idea of it was lame  take a minor character from a mediocre PG13 film and make a complete nonsequel while changing its tone to a PGrated family movie  ,idea lame take minor character mediocre pg13 film make complete nonsequel changing tone pgrated family movie,30
1041,I wasn't the least bit interested.  ,0,imdb,I wasnt the least bit interested  ,wasnt least bit interested,6
1042,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",0,imdb,Not only did it only confirm that the film would be unfunny and generic but it also managed to give away the ENTIRE movie and Im not exaggerating  every moment every plot point every joke is told in the trailer  ,confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer,40
1043,But it's just not funny.  ,0,imdb,But its just not funny  ,funny,5
1044,But even the talented Carrell can't save this.  ,0,imdb,But even the talented Carrell cant save this  ,even talented carrell cant save,8
1045,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0,imdb,His costars dont fare much better with people like Morgan Freeman Jonah Hill and Ed Helms just wasted  ,costars dont fare much better people like morgan freeman jonah hill ed helms wasted,18
1046,The story itself is just predictable and lazy.  ,0,imdb,The story itself is just predictable and lazy  ,story predictable lazy,8
1047,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0,imdb,The only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work Ive ever seen  ,real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen,33
1048,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",0,imdb,But whatever it was that cost them so much it didnt translate to quality thats for sure  ,whatever cost much didnt translate quality thats sure,17
1049,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1,imdb,The film succeeds despite or perhaps because of an obviously meagre budget  ,film succeeds despite perhaps obviously meagre budget,12
1050,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",1,imdb,Im glad the film didnt go for the most obvious choice as a lesser film certainly would have  ,im glad film didnt go obvious choice lesser film certainly would,18
1051,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1,imdb,In addition to having one of the most lovely songs ever written French Cancan also boasts one of the cutest leading ladies ever to grace the screen  ,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen,27
1052,It's hard not to fall head-over-heels in love with that girl.  ,1,imdb,Its hard not to fall headoverheels in love with that girl  ,hard fall headoverheels love girl,11
1053,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",0,imdb,On the negative its insipid enough to cause regret for another 2 hours of life wasted in front of the screen  ,negative insipid enough cause regret another 2 hours life wasted front screen,21
1054,"Long, whiny and pointless.  ",0,imdb,Long whiny and pointless  ,long whiny pointless,4
1055,"But I recommend waiting for their future efforts, let this one go.  ",0,imdb,But I recommend waiting for their future efforts let this one go  ,recommend waiting future efforts let one go,12
1056,"Excellent cast, story line, performances.  ",1,imdb,Excellent cast story line performances  ,excellent cast story line performances,5
1057,Totally believable.  ,1,imdb,Totally believable  ,totally believable,2
1058,Anne Heche was utterly convincing.  ,1,imdb,Anne Heche was utterly convincing  ,anne heche utterly convincing,5
1059,Sam Shepard's portrayal of a gung ho Marine was sobering.  ,1,imdb,Sam Shepards portrayal of a gung ho Marine was sobering  ,sam shepards portrayal gung ho marine sobering,10
1060,I sat riveted to the TV screen.  ,1,imdb,I sat riveted to the TV screen  ,sat riveted tv screen,7
1061,All in all I give this one a resounding 9 out of 10.  ,1,imdb,All in all I give this one a resounding 9 out of 10  ,give one resounding 9 10,13
1062,I do think Tom Hanks is a good actor.  ,1,imdb,I do think Tom Hanks is a good actor  ,think tom hanks good actor,9
1063,I enjoyed reading this book to my children when they were little.  ,1,imdb,I enjoyed reading this book to my children when they were little  ,enjoyed reading book children little,12
1064,I was very disappointed in the movie.  ,0,imdb,I was very disappointed in the movie  ,disappointed movie,7
1065,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0,imdb,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  ,one character totally annoying voice gives feeling fingernails chalkboard,18
1066,There is a totally unnecessary train/roller coaster scene.  ,0,imdb,There is a totally unnecessary trainroller coaster scene  ,totally unnecessary trainroller coaster scene,8
1067,There was absolutely no warmth or charm to these scenes or characters.  ,0,imdb,There was absolutely no warmth or charm to these scenes or characters  ,absolutely warmth charm scenes characters,12
1068,This movie totally grates on my nerves.  ,0,imdb,This movie totally grates on my nerves  ,movie totally grates nerves,7
1069,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",0,imdb,The performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good  ,performances improved improvisation actors twice much worry whether theyre delivering line well whether line good,34
1070,"And, quite honestly, often its not very good.  ",0,imdb,And quite honestly often its not very good  ,quite honestly often good,8
1071,"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",0,imdb,Often the dialogue doesnt really follow from one line to another or fit the surroundings  ,often dialogue doesnt really follow one line another fit surroundings,15
1072,"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",0,imdb,It crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badly  ,crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly,22
1073,There are some generally great things in it.  ,1,imdb,There are some generally great things in it  ,generally great things,8
1074,"I wouldn't say they're worth 2 hours of your time, though.  ",0,imdb,I wouldnt say theyre worth 2 hours of your time though  ,wouldnt say theyre worth 2 hours time though,11
1075,"The suspense builders were good, & just cross the line from G to PG.  ",1,imdb,The suspense builders were good  just cross the line from G to PG  ,suspense builders good cross line g pg,13
1076,"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",1,imdb,I especially liked the noncliche choices with the parents in other movies I could predict the dialog verbatim but the writing in this movie made better selections  ,especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections,27
1077,"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",1,imdb,If you want a movie thats not gross but gives you some chills this is a great choice  ,want movie thats gross gives chills great choice,18
1078,Alexander Nevsky is a great film.  ,1,imdb,Alexander Nevsky is a great film  ,alexander nevsky great film,6
1079,"He is an amazing film artist, one of the most important whoever lived.  ",1,imdb,He is an amazing film artist one of the most important whoever lived  ,amazing film artist one important whoever lived,13
1080,"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",0,imdb,Im glad this pretentious piece of s didnt do as planned by the Dodge stratus Big Shots Its gonna help movie makers who arent in the very restrained movie business of Québec  ,im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business québec,32
1081,This if the first movie I've given a 10 to in years.  ,1,imdb,This if the first movie Ive given a 10 to in years  ,first movie ive given 10 years,12
1082,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,imdb,If there was ever a movie that needed wordofmouth to promote this is it  ,ever movie needed wordofmouth promote,14
1083,"Overall, the film is interesting and thought-provoking.  ",1,imdb,Overall the film is interesting and thoughtprovoking  ,overall film interesting thoughtprovoking,7
1084,"Plus, it was well-paced and suited its relatively short run time.  ",1,imdb,Plus it was wellpaced and suited its relatively short run time  ,plus wellpaced suited relatively short run time,11
1085,Give this one a look.  ,1,imdb,Give this one a look  ,give one look,5
1086,I gave it a 10  ,1,imdb,I gave it a 10  ,gave 10,5
1087,The Wind and the Lion is well written and superbly acted.  ,1,imdb,The Wind and the Lion is well written and superbly acted  ,wind lion well written superbly acted,11
1088,It is a true classic.  ,1,imdb,It is a true classic  ,true classic,5
1089,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,imdb,It actually turned out to be pretty decent as far as Blist horrorsuspense films go  ,actually turned pretty decent far blist horrorsuspense films go,15
1090,Definitely worth checking out.  ,1,imdb,Definitely worth checking out  ,definitely worth checking,4
1091,The problem was the script.  ,0,imdb,The problem was the script  ,problem script,5
1092,It was horrendous.  ,0,imdb,It was horrendous  ,horrendous,3
1093,There was NOTHING believable about it at all.  ,0,imdb,There was NOTHING believable about it at all  ,nothing believable,8
1094,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,imdb,The only suspense I was feeling was the frustration at just how retarded the girls were  ,suspense feeling frustration retarded girls,16
1095,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,imdb,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time  ,manna heaven terrific film predictable unpredictable time,17
1096,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,imdb,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going  ,scenes often funny occasionally touching characters evaluate lives going,19
1097,The cast of veteran actors are more than just a nostalgia trip.  ,1,imdb,The cast of veteran actors are more than just a nostalgia trip  ,cast veteran actors nostalgia trip,12
1098,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,imdb,Ursula Burtons portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church  ,ursula burtons portrayal nun touching funny time making fun nuns church,24
1099,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,imdb,If you are looking for a movie with a terrific cast some good musicincluding a Shirley Jones rendition of The Way You Look Tonight and an uplifting ending give this one a try  ,looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,33
1100,I don't think you will be disappointed.  ,1,imdb,I dont think you will be disappointed  ,dont think disappointed,7
1101,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,imdb,Frankly after Cotton club and Unfaithful it was kind of embarrassing to watch Lane and Gere in this film because it is BAD  ,frankly cotton club unfaithful kind embarrassing watch lane gere film bad,23
1102,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,imdb,The acting was bad the dialogs were extremely shallow and insincere  ,acting bad dialogs extremely shallow insincere,11
1103,"It was too predictable, even for a chick flick.  ",0,imdb,It was too predictable even for a chick flick  ,predictable even chick flick,9
1104,Too politically correct.  ,0,imdb,Too politically correct  ,politically correct,3
1105,Very disappointing.  ,0,imdb,Very disappointing  ,disappointing,2
1106,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,imdb,The only thing really worth watching was the scenery and the house because it is beautiful  ,thing really worth watching scenery house beautiful,16
1107,"I love Lane, but I've never seen her in a movie this lousy.  ",0,imdb,I love Lane but Ive never seen her in a movie this lousy  ,love lane ive never seen movie lousy,13
1108,An hour and a half I wish I could bring back.  ,0,imdb,An hour and a half I wish I could bring back  ,hour half wish could bring back,11
1109,But in terms of the writing it's very fresh and bold.  ,1,imdb,But in terms of the writing its very fresh and bold  ,terms writing fresh bold,11
1110,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,imdb,The acting helps the writing along very well maybe the idiotsavant sister could have been played better and it is a real joy to watch  ,acting helps writing along well maybe idiotsavant sister could played better real joy watch,25
1111,The directing and the cinematography aren't quite as good.  ,0,imdb,The directing and the cinematography arent quite as good  ,directing cinematography arent quite good,9
1112,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,imdb,The movie was so boring that I sometimes found myself occupied peaking in the paper instead of watching never happened during a Columbo movie before  ,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,25
1113,"), and sometimes it was so embarrassing that I had to look away.  ",0,imdb, and sometimes it was so embarrassing that I had to look away  ,sometimes embarrassing look away,12
1114,The directing seems too pretentious.  ,0,imdb,The directing seems too pretentious  ,directing seems pretentious,5
1115,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,imdb,The scenes with the ohsomature neighbourgirl are a misplace  ,scenes ohsomature neighbourgirl misplace,9
1116,And generally the lines and plot is weaker than the average episode.  ,0,imdb,And generally the lines and plot is weaker than the average episode  ,generally lines plot weaker average episode,12
1117,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,imdb,Then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid  ,scene debated whether sack trumpeter falsely accused murder pure horror really stupid,24
1118,"Some applause should be given to the ""prelude"" however.  ",1,imdb,Some applause should be given to the prelude however  ,applause given prelude however,9
1119,I really liked that.  ,1,imdb,I really liked that  ,really liked,4
1120,A great film by a great director.  ,1,imdb,A great film by a great director  ,great film great director,7
1121,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,imdb,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night  ,movie edge seat made somewhat afraid go car end night,26
1122,The music in the film is really nice too.  ,1,imdb,The music in the film is really nice too  ,music film really nice,9
1123,I'd advise anyone to go and see it.  ,1,imdb,Id advise anyone to go and see it  ,id advise anyone go see,8
1124,Brilliant!  ,1,imdb,Brilliant  ,brilliant,1
1125,10/10  ,1,imdb,1010  ,1010,1
1126,I liked this movie way too much.  ,1,imdb,I liked this movie way too much  ,liked movie way much,7
1127,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,imdb,My only problem is I thought the actor playing the villain was a low rent Michael Ironside  ,problem thought actor playing villain low rent michael ironside,17
1128,It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,imdb,It rocked my world and is certainly a must see for anyone with no social or physical outlets  ,rocked world certainly must see anyone social physical outlets,18
1129,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,imdb,However this didnt make up for the fact that overall this was a tremendously boring movie  ,however didnt make fact overall tremendously boring movie,16
1130,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,imdb,There was NO chemistry between Ben Affleck and Sandra Bullock in this film and I couldnt understand why he would consider even leaving his wifetobe for this chick that he supposedly was knocked out by  ,chemistry ben affleck sandra bullock film couldnt understand would consider even leaving wifetobe chick supposedly knocked,35
1131,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,imdb,There were several moments in the movie that just didnt need to be there and were excruciatingly slow moving  ,several moments movie didnt need excruciatingly slow moving,19
1132,"This was a poor remake of ""My Best Friends Wedding"".  ",0,imdb,This was a poor remake of My Best Friends Wedding  ,poor remake best friends wedding,10
1133,"All in all, a great disappointment.  ",0,imdb,All in all a great disappointment  ,great disappointment,6
1134,"I cannot believe that the actors agreed to do this ""film"".  ",0,imdb,I cannot believe that the actors agreed to do this film  ,cannot believe actors agreed film,11
1135,I could not stand to even watch it for very long for fear of losing I.Q.  ,0,imdb,I could not stand to even watch it for very long for fear of losing IQ  ,could stand even watch long fear losing iq,16
1136,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,imdb,I guess that nobody at the network that aired this dribble watched it before putting it on  ,guess nobody network aired dribble watched putting,17
1137,"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,imdb,IMDB ratings only go as low 1 for awful its time to get some negative numbers in there for cases such as these  ,imdb ratings go low 1 awful time get negative numbers cases,23
1138,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,imdb,I saw Mirrormask last night and it was an unsatisfactory experience  ,saw mirrormask last night unsatisfactory experience,11
1139,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,imdb,Unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict  ,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,20
1140,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,imdb,These are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination  ,central themes film handled ineptly stereotypically depth imagination,20
1141,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,imdb,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core  ,pretty pictures world cannot make piece work flawed core,21
1142,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,imdb,It is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life  ,hour half waste time following bunch pretty high schoolers whine cry life,22
1143,"You can't relate with them, hell you barely can understand them.  ",0,imdb,You cant relate with them hell you barely can understand them  ,cant relate hell barely understand,11
1144,This is definitely a cult classic well worth viewing and sharing with others.  ,1,imdb,This is definitely a cult classic well worth viewing and sharing with others  ,definitely cult classic well worth viewing sharing others,13
1145,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,imdb,This movie is a pure disaster the story is stupid and the editing is the worst I have seen it confuses you incredibly  ,movie pure disaster story stupid editing worst seen confuses incredibly,23
1146,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,imdb,The fish is badly made and some of its underwater shots are repeated a thousand times in the film  ,fish badly made underwater shots repeated thousand times film,19
1147,"A truly, truly bad film.  ",0,imdb,A truly truly bad film  ,truly truly bad film,5
1148,"The acting is terrible, and the writing is worse.  ",0,imdb,The acting is terrible and the writing is worse  ,acting terrible writing worse,9
1149,The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,imdb,The only possible way this movie could be redeemed would be as MST3K fodder  ,possible way movie could redeemed would mst3k fodder,14
1150,I paid too much.  ,0,imdb,I paid too much  ,paid much,4
1151,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,imdb,Also its a real treat to see Anthony Quinn playing Crazy Horse  ,also real treat see anthony quinn playing crazy horse,12
1152,It was so BORING!  ,0,imdb,It was so BORING  ,boring,4
1153,No plot whatsoever!  ,0,imdb,No plot whatsoever  ,plot whatsoever,3
1154,"Again, no plot at all.  ",0,imdb,Again no plot at all  ,plot,5
1155,Horrible!  ,0,imdb,Horrible  ,horrible,1
1156,Worst hour and a half of my life!Oh my gosh!  ,0,imdb,Worst hour and a half of my lifeOh my gosh  ,worst hour half lifeoh gosh,10
1157,I had to walk out of the theatre for a few minutes just to get some relief!  ,0,imdb,I had to walk out of the theatre for a few minutes just to get some relief  ,walk theatre minutes get relief,17
1158,I hate movies like that.  ,0,imdb,I hate movies like that  ,hate movies like,5
1159,"Yeah, the movie pretty much sucked.  ",0,imdb,Yeah the movie pretty much sucked  ,yeah movie pretty much sucked,6
1160,THERE IS NO PLOT OR STORYLINE!!  ,0,imdb,THERE IS NO PLOT OR STORYLINE  ,plot storyline,6
1161,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,imdb,If you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out  ,go see movie bring pillow girlfriendboyfriend keep occupied,19
1162,Awful.  ,0,imdb,Awful  ,awful,1
1163,I don't think I've ever gone to a movie and disliked it as much.  ,0,imdb,I dont think Ive ever gone to a movie and disliked it as much  ,dont think ive ever gone movie disliked much,14
1164,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,imdb,It was a good thing that the tickets only cost five dollars because I would be mad if Id have paid 750 to see this crap  ,good thing tickets cost five dollars would mad id paid 750 see crap,26
1165,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,imdb,NOBODY identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes  ,nobody identifies characters theyre cardboard cutouts stereotypes predictably reversestereotypes,15
1166,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,imdb,This is a bad film with bad writing and good actorsan ugly cartoon crafted by Paul Haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons  ,bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons,33
1167,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,imdb,Crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things  ,crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,23
1168,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,imdb,Still I do like this movie for its empowerment of women theres not enough movies out there like this one  ,still like movie empowerment women theres enough movies like one,20
1169,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,imdb,Your brain will attempt to shutdown as part of a primal impulse of selfpreservation  ,brain attempt shutdown part primal impulse selfpreservation,14
1170,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0,imdb,I was left shattered from the experience of watching this film and I took a good two hours to fully recover  ,left shattered experience watching film took good two hours fully recover,21
1171,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,imdb,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films  ,movie joins revenge boogeyman zombiez part hellish trinity horror films,19
1172,I certainly do not mean this distinction in a good way.  ,0,imdb,I certainly do not mean this distinction in a good way  ,certainly mean distinction good way,11
1173,I mean this in a terrible way.  ,0,imdb,I mean this in a terrible way  ,mean terrible way,7
1174,This film has no redeeming features.  ,0,imdb,This film has no redeeming features  ,film redeeming features,6
1175,Everything is appalling.  ,0,imdb,Everything is appalling  ,everything appalling,3
1176,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,imdb,Artless camerawork endlessly presents us with the ugliest setting imaginable ie  ,artless camerawork endlessly presents us ugliest setting imaginable ie,11
1177,The story is beyond stupid.  ,0,imdb,The story is beyond stupid  ,story beyond stupid,5
1178,The script iswas there a script?  ,0,imdb,The script iswas there a script  ,script script,7
1179,The kids are annoying.  ,0,imdb,The kids are annoying  ,kids annoying,4
1180,The lead man is charisma-free.  ,0,imdb,The lead man is charismafree  ,lead man charismafree,5
1181,"Utterly without merit on any level, this is akin to torture.  ",0,imdb,Utterly without merit on any level this is akin to torture  ,utterly without merit level akin torture,11
1182,I'll even say it again  this is torture.  ,0,imdb,Ill even say it again  this is torture  ,ill even say torture,8
1183,Maybe there would be a reasonable explanation for this atrocity.  ,0,imdb,Maybe there would be a reasonable explanation for this atrocity  ,maybe would reasonable explanation atrocity,10
1184,Not a pleasant voyage of self-discovery.  ,0,imdb,Not a pleasant voyage of selfdiscovery  ,pleasant voyage selfdiscovery,6
1185,Highly unrecommended.  ,0,imdb,Highly unrecommended  ,highly unrecommended,2
1186,"If this premise sound stupid, that's because it is.  ",0,imdb,If this premise sound stupid thats because it is  ,premise sound stupid thats,9
1187,"Yes, it's that bad.  ",0,imdb,Yes its that bad  ,yes bad,4
1188,Nothing at all to recommend.  ,0,imdb,Nothing at all to recommend  ,nothing recommend,5
1189,An excellent performance from Ms.  ,1,imdb,An excellent performance from Ms  ,excellent performance ms,5
1190,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,imdb,Garbo who showed right off the bat that her talents could carry over from the silent era I wanted to see some of her silent work but Netflix doesnt seem to be stocking them  ,garbo showed right bat talents could carry silent era wanted see silent work netflix doesnt seem stocking,34
1191,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1,imdb,Its also great to see that renowned silent screenwriter Frances Marion hasnt missed a step going from silent to sound  ,also great see renowned silent screenwriter frances marion hasnt missed step going silent sound,20
1192,"This movie suffered because of the writing, it needed more suspense.  ",0,imdb,This movie suffered because of the writing it needed more suspense  ,movie suffered writing needed suspense,11
1193,There were too many close ups.  ,0,imdb,There were too many close ups  ,many close ups,6
1194,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0,imdb,But other than that the movie seemed to drag and the heroes didnt really work for their freedom  ,movie seemed drag heroes didnt really work freedom,18
1195,But this movie is definitely a below average rent.  ,0,imdb,But this movie is definitely a below average rent  ,movie definitely average rent,9
1196,You'll love it!  ,1,imdb,Youll love it  ,youll love,3
1197,This movie is BAD.  ,0,imdb,This movie is BAD  ,movie bad,4
1198,So bad.  ,0,imdb,So bad  ,bad,2
1199,The film is way too long.  ,0,imdb,The film is way too long  ,film way long,6
1200,This is definitely one of the bad ones.  ,0,imdb,This is definitely one of the bad ones  ,definitely one bad ones,8
1201,The movie I received was a great quality film for it's age.  ,1,imdb,The movie I received was a great quality film for its age  ,movie received great quality film age,12
1202,John Wayne did an incredible job for being so young in the movie industry.  ,1,imdb,John Wayne did an incredible job for being so young in the movie industry  ,john wayne incredible job young movie industry,14
1203,His on screen presence shined thought even though there were other senior actors on the screen with him.  ,1,imdb,His on screen presence shined thought even though there were other senior actors on the screen with him  ,screen presence shined thought even though senior actors screen,18
1204,I think that it is a must see older John Wayne film.  ,1,imdb,I think that it is a must see older John Wayne film  ,think must see older john wayne film,12
1205,I really don't see how anyone could enjoy this movie.  ,0,imdb,I really dont see how anyone could enjoy this movie  ,really dont see anyone could enjoy movie,10
1206,I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0,imdb,I dont think Ive ever seen a movie half as boring as this selfindulgent piece of junk  ,dont think ive ever seen movie half boring selfindulgent piece junk,17
