,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length,tokens,padded_tokens
1683,A good film by a great director!  ,1,imdb,A good film by a great director  ,good film great director,7,"[2, 6, 3, 360]","[  2   6   3 360   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1894,"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  ",0,imdb,The story is lame not interesting and NEVER really explains the sinister origins of the puppets  ,story lame interesting never really explains sinister origins puppets,16,"[99, 699, 175, 34, 12, 2212, 2213, 2214, 910]","[  99  699  175   34   12 2212 2213 2214  910    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2741,It was way over fried.,0,yelp,It was way over fried,way fried,5,"[44, 567]","[ 44 567   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2549,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,yelp,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service,boyfriend came first time recent trip vegas could pleased quality food service,30,"[802, 59, 33, 10, 700, 652, 164, 42, 568, 23, 9, 13]","[802  59  33  10 700 652 164  42 568  23   9  13   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2851,I probably would not go here again.,0,yelp,I probably would not go here again,probably would go,7,"[140, 16, 25]","[140  16  25   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
36,It has kept up very well.,1,amz,It has kept up very well,kept well,6,"[261, 15]","[261  15   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
953,It didn't charge for me.,0,amz,It didnt charge for me,didnt charge,5,"[50, 190]","[ 50 190   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
117,It is very comfortable on the ear.,1,amz,It is very comfortable on the ear,comfortable ear,7,"[124, 81]","[124  81   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2451,Food was so gooodd.,1,yelp,Food was so gooodd,food gooodd,4,"[9, 2215]","[   9 2215    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
391,The picture resolution is far below what other comparably-priced phones are offering today.,0,amz,The picture resolution is far below what other comparablypriced phones are offering today,picture resolution far comparablypriced phones offering today,13,"[266, 1178, 103, 2216, 285, 2217, 356]","[ 266 1178  103 2216  285 2217  356    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1300,"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",1,imdb,I recommend this for EVERYONE who loves film movies anythingA Work of Art  ,recommend everyone loves film movies anythinga work art,13,"[37, 177, 911, 6, 68, 2218, 26, 227]","[  37  177  911    6   68 2218   26  227    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1134,"I cannot believe that the actors agreed to do this ""film"".  ",0,imdb,I cannot believe that the actors agreed to do this film  ,cannot believe actors agreed film,11,"[389, 297, 167, 2219, 6]","[ 389  297  167 2219    6    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2276,I liked the patio and the service was outstanding.,1,yelp,I liked the patio and the service was outstanding,liked patio service outstanding,9,"[315, 912, 13, 913]","[315 912  13 913   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1123,I'd advise anyone to go and see it.  ,1,imdb,Id advise anyone to go and see it  ,id advise anyone go see,8,"[233, 701, 120, 25, 49]","[233 701 120  25  49   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
598,This is a great phone!.,1,amz,This is a great phone,great phone,5,"[3, 5]",[3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,amz,It is super charged up for use as a small hybrid palmtopcameracellphone and excels in those roles,super charged use small hybrid palmtopcameracellphone excels roles,17,"[357, 914, 45, 196, 2220, 2221, 2222, 569]","[ 357  914   45  196 2220 2221 2222  569    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0,amz,the worst phone from samsungcrap this crappy Samsung E715 is the worst i have ever seeen,worst phone samsungcrap crappy samsung e715 worst ever seeen,16,"[63, 5, 2223, 2224, 563, 2225, 63, 21, 2226]","[  63    5 2223 2224  563 2225   63   21 2226    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2800,I'm super pissd.,0,yelp,Im super pissd,im super pissd,3,"[31, 357, 2227]","[  31  357 2227    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
917,Leopard Print is wonderfully wild!.,1,amz,Leopard Print is wonderfully wild,leopard print wonderfully wild,5,"[2228, 2229, 680, 1325]","[2228 2229  680 1325    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1477,The directing is sloppy at best.  ,0,imdb,The directing is sloppy at best  ,directing sloppy best,6,"[470, 2230, 22]","[ 470 2230   22    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
787,It is simple to use and I like it.,1,amz,It is simple to use and I like it,simple use like,9,"[413, 45, 8]","[413  45   8   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1715,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0,imdb,Im big fan of RPG games too but this movie its a disgrace to any selfrespecting RPGer there is  ,im big fan rpg games movie disgrace selfrespecting rpger,19,"[31, 143, 624, 2231, 668, 4, 1326, 2232, 2233]","[  31  143  624 2231  668    4 1326 2232 2233    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1895,There aren't death scenes like in previous movies and the f/x are terrible.  ,0,imdb,There arent death scenes like in previous movies and the fx are terrible  ,arent death scenes like previous movies fx terrible,13,"[1327, 702, 139, 8, 694, 68, 1328, 71]","[1327  702  139    8  694   68 1328   71    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2438,Wow very spicy but delicious.,1,yelp,Wow very spicy but delicious,wow spicy delicious,5,"[662, 456, 122]","[662 456 122   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1544,"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",1,imdb,Its just adorable seeing Mickey playing Turkey in the Straw in a highly imaginative if occasionally cruel way  ,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,18,"[691, 439, 915, 570, 1329, 2234, 145, 916, 703, 2235, 44]","[ 691  439  915  570 1329 2234  145  916  703 2235   44    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1223,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0,imdb,This is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture  ,chilly unremarkable movie author livingworking chilly abstruse culture,15,"[1330, 2236, 4, 2237, 2238, 1330, 2239, 2240]","[1330 2236    4 2237 2238 1330 2239 2240    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1912,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",0,imdb,The acting is like watching wooden puppets moving around and reading from a book thats how bad it is  ,acting like watching wooden puppets moving around reading book thats bad,19,"[55, 8, 117, 917, 910, 704, 106, 676, 460, 313, 14]","[ 55   8 117 917 910 704 106 676 460 313  14   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1853,Everything stinks.  ,0,imdb,Everything stinks  ,everything stinks,2,"[67, 1331]","[  67 1331    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
755,Then a few days later the a puff of smoke came out of the phone while in use.,0,amz,Then a few days later the a puff of smoke came out of the phone while in use,days later puff smoke came phone use,18,"[414, 471, 2241, 1332, 59, 5, 45]","[ 414  471 2241 1332   59    5   45    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
840,It would take too long to describe how bad my customer service experience has been with Amazon.,0,amz,It would take too long to describe how bad my customer service experience has been with Amazon,would take long describe bad customer service experience amazon,17,"[16, 115, 95, 1333, 14, 296, 13, 70, 571]","[  16  115   95 1333   14  296   13   70  571    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
272,Unreliable - I'm giving up.,0,amz,Unreliable  Im giving up,unreliable im giving,4,"[918, 31, 1220]","[ 918   31 1220    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
571,This fixes all the problems.,1,amz,This fixes all the problems,fixes problems,5,"[2242, 223]","[2242  223    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2681,Your staff spends more time talking to themselves than me.,0,yelp,Your staff spends more time talking to themselves than me,staff spends time talking,10,"[170, 2243, 10, 1334]","[ 170 2243   10 1334    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1229,"I was totally fascinated by the music, the dancing... everything.  ",1,imdb,I was totally fascinated by the music the dancing everything  ,totally fascinated music dancing everything,10,"[114, 2244, 188, 1138, 67]","[ 114 2244  188 1138   67    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1356,Now you know why I gave it a 10+!  ,1,imdb,Now you know why I gave it a 10  ,know gave 10,9,"[88, 303, 132]","[ 88 303 132   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2250,Owner's are really great people.!,1,yelp,Owners are really great people,owners really great people,5,"[919, 12, 3, 53]","[919  12   3  53   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0,amz,Doesnt work at all I bougth it for my L7c and its not working,doesnt work bougth l7c working,14,"[84, 26, 2245, 2246, 276]","[  84   26 2245 2246  276    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1908,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0,imdb,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad  ,one worst sandra bullock movie since speed 2 quite bad,17,"[7, 63, 1335, 1336, 4, 113, 920, 97, 96, 14]","[   7   63 1335 1336    4  113  920   97   96   14    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1277,I'm not sure what he was trying to do with this film.  ,0,imdb,Im not sure what he was trying to do with this film  ,im sure trying film,12,"[31, 156, 396, 6]","[ 31 156 396   6   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2690,It was absolutely amazing.,1,yelp,It was absolutely amazing,absolutely amazing,4,"[137, 74]","[137  74   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1490,"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",1,imdb,Totally different with loads of understatement and black comedy this is a film few get to see but those who do will remember it  ,totally different loads understatement black comedy film get see remember,24,"[114, 241, 921, 2247, 200, 572, 6, 35, 49, 705]","[ 114  241  921 2247  200  572    6   35   49  705    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2271,You cant go wrong with any of the food here.,1,yelp,You cant go wrong with any of the food here,cant go wrong food,10,"[65, 25, 415, 9]","[ 65  25 415   9   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2110,"REAL sushi lovers, let's be honest - Yama is not that good.",0,yelp,REAL sushi lovers lets be honest  Yama is not that good,real sushi lovers lets honest yama good,11,"[79, 280, 1337, 922, 1338, 2248, 2]","[  79  280 1337  922 1338 2248    2    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
539,none of the new ones have ever quite worked properly.,0,amz,none of the new ones have ever quite worked properly,none new ones ever quite worked properly,10,"[416, 86, 1339, 21, 96, 119, 923]","[ 416   86 1339   21   96  119  923    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1823,I struggle to find anything bad to say about it.  ,1,imdb,I struggle to find anything bad to say about it  ,struggle find anything bad say,10,"[1340, 158, 240, 14, 58]","[1340  158  240   14   58    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1161,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,imdb,If you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out  ,go see movie bring pillow girlfriendboyfriend keep occupied,19,"[25, 49, 4, 434, 2249, 2250, 472, 924]","[  25   49    4  434 2249 2250  472  924    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1437,"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",0,imdb,But the actingeven that of such professionals as Drago and Debbie Rochonwas terrible the directing worse perhaps contributory to the former the dialog chimplike and the camera work barely tolerable  ,actingeven professionals drago debbie rochonwas terrible directing worse perhaps contributory former dialog chimplike camera work barely tolerable,30,"[2251, 2252, 1341, 2253, 2254, 71, 470, 184, 541, 2255, 2256, 1342, 2257, 110, 26, 317, 2258]","[2251 2252 1341 2253 2254   71  470  184  541 2255 2256 1342 2257  110
   26  317 2258    0    0    0    0    0    0    0    0    0    0]"
2083,This place has it!,1,yelp,This place has it,place,4,[11],"[11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
1815,But this understated film leaves a lasting impression.  ,1,imdb,But this understated film leaves a lasting impression  ,understated film leaves lasting impression,8,"[1309, 6, 1343, 856, 2259]","[1309    6 1343  856 2259    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1063,I enjoyed reading this book to my children when they were little.  ,1,imdb,I enjoyed reading this book to my children when they were little  ,enjoyed reading book children little,12,"[246, 676, 460, 925, 78]","[246 676 460 925  78   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1549,"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",1,imdb,John Garfield Ann revere Lilli Plmer William Conrad Canada Leeand filmed by one of the greatest cinematographers to ever grace the screenJames Wong Howe  ,john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe,24,"[473, 2260, 2261, 2262, 2263, 2264, 2265, 2266, 1344, 2267, 1345, 7, 706, 2268, 21, 926, 2269, 2270, 2271]","[ 473 2260 2261 2262 2263 2264 2265 2266 1344 2267 1345    7  706 2268
   21  926 2269 2270 2271    0    0    0    0    0    0    0    0]"
1689,It's so bad it's actually worth seeing just for that reason.  ,0,imdb,Its so bad its actually worth seeing just for that reason  ,bad actually worth seeing reason,11,"[14, 171, 76, 439, 450]","[ 14 171  76 439 450   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1864,The scripting of the subtle comedy is unmatched by any movie in recent years.  ,1,imdb,The scripting of the subtle comedy is unmatched by any movie in recent years  ,scripting subtle comedy unmatched movie recent years,14,"[2272, 474, 572, 2273, 4, 700, 107]","[2272  474  572 2273    4  700  107    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
909,Seller shipped quickly and much cheaper than the competitors.,1,amz,Seller shipped quickly and much cheaper than the competitors,seller shipped quickly much cheaper competitors,9,"[1346, 1347, 412, 36, 1348, 2274]","[1346 1347  412   36 1348 2274    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1713,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,1,imdb,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character  ,success film depends casting sydney greenstreet alexander yardley character,17,"[2275, 6, 2276, 927, 2277, 2278, 2279, 2280, 126]","[2275    6 2276  927 2277 2278 2279 2280  126    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amz,I really recommend this faceplates since it looks very nice elegant and cool,really recommend faceplates since looks nice elegant cool,13,"[12, 37, 2281, 113, 299, 30, 1349, 163]","[  12   37 2281  113  299   30 1349  163    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
799,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,amz,I tried talking real loud but shouting on the telephone gets old and I was still told it wasnt great,tried talking real loud shouting telephone gets old still told wasnt great,20,"[302, 1334, 79, 573, 2282, 1350, 201, 173, 48, 403, 105, 3]","[ 302 1334   79  573 2282 1350  201  173   48  403  105    3    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,amz,After my phone got to be about a year old its been slowly breaking despite much care on my part,phone got year old slowly breaking despite much care part,20,"[5, 51, 253, 173, 2283, 1198, 574, 36, 354, 144]","[   5   51  253  173 2283 1198  574   36  354  144    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1413,The camera really likes her in this movie.  ,1,imdb,The camera really likes her in this movie  ,camera really likes movie,8,"[110, 12, 707, 4]","[110  12 707   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
688,Too bad you have to pay up to $$$ a month for the service!,0,amz,Too bad you have to pay up to  a month for the service,bad pay month service,13,"[14, 338, 1351, 13]","[  14  338 1351   13    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2313,Never going back.,0,yelp,Never going back,never going back,3,"[34, 60, 20]","[34 60 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
2462,Im in AZ all the time and now have my new spot.,1,yelp,Im in AZ all the time and now have my new spot,im az time new spot,12,"[31, 2284, 10, 86, 468]","[  31 2284   10   86  468    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2894,If you stay in Vegas you must get breakfast here at least once.,1,yelp,If you stay in Vegas you must get breakfast here at least once,stay vegas must get breakfast least,13,"[363, 164, 202, 35, 708, 215]","[363 164 202  35 708 215   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2520,"Oh this is such a thing of beauty, this restaurant.",1,yelp,Oh this is such a thing of beauty this restaurant,oh thing beauty restaurant,10,"[575, 56, 2285, 125]","[ 575   56 2285  125    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1235,It was just too horrible.  ,0,imdb,It was just too horrible  ,horrible,5,[134],"[134   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2379,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,yelp,The staff are now not as friendly the wait times for being served are horrible no one even says hi for the first 10 minutes,staff friendly wait times served horrible one even says hi first 10 minutes,25,"[170, 93, 249, 189, 407, 134, 7, 17, 928, 2286, 33, 132, 83]","[ 170   93  249  189  407  134    7   17  928 2286   33  132   83    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2904,-My order was not correct.,0,yelp,My order was not correct,order correct,5,"[254, 1257]","[ 254 1257    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1706,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,0,imdb,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for  ,show would begin smart ass ed comments would totally wall uncalled,22,"[176, 16, 884, 929, 2287, 1352, 2288, 16, 114, 576, 2289]","[ 176   16  884  929 2287 1352 2288   16  114  576 2289    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1811,This film offers many delights and surprises.  ,1,imdb,This film offers many delights and surprises  ,film offers many delights surprises,7,"[6, 709, 77, 1293, 2290]","[   6  709   77 1293 2290    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
578,It does everything the description said it would.,1,amz,It does everything the description said it would,everything description said would,8,"[67, 1145, 212, 16]","[  67 1145  212   16    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
777,WORTHWHILE.,1,amz,WORTHWHILE,worthwhile,1,[1353],"[1353    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
292,Excellent Phone.,1,amz,Excellent Phone,excellent phone,2,"[39, 5]","[39  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
459,Horrible phone.,0,amz,Horrible phone,horrible phone,2,"[134, 5]","[134   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,amz,Car charger as well as AC charger are included to make sure you never run out of juiceHighy recommended,car charger well ac charger included make sure never run juicehighy recommended,19,"[136, 118, 15, 2291, 118, 1354, 41, 156, 34, 857, 2292, 364]","[ 136  118   15 2291  118 1354   41  156   34  857 2292  364    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2572,Waited and waited and waited.,0,yelp,Waited and waited and waited,waited waited waited,5,"[365, 365, 365]","[365 365 365   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0,amz,Perhaps my phone is defective but people cannot hear me when I use this,perhaps phone defective people cannot hear use,14,"[541, 5, 2293, 53, 389, 228, 45]","[ 541    5 2293   53  389  228   45    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1900,"Otherwise, don't even waste your time on this.  ",0,imdb,Otherwise dont even waste your time on this  ,otherwise dont even waste time,8,"[930, 18, 17, 64, 10]","[930  18  17  64  10   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
997,Item Does Not Match Picture.,0,amz,Item Does Not Match Picture,item match picture,5,"[159, 931, 266]","[159 931 266   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
256,"The cable looks so thin and flimsy, it is scary.",0,amz,The cable looks so thin and flimsy it is scary,cable looks thin flimsy scary,10,"[417, 299, 670, 1355, 932]","[ 417  299  670 1355  932    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
370,"I'll be drivng along, and my headset starts ringing for no reason.",0,amz,Ill be drivng along and my headset starts ringing for no reason,ill drivng along headset starts ringing reason,12,"[172, 2294, 710, 46, 933, 1356, 450]","[ 172 2294  710   46  933 1356  450    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
80,I wear it everyday and it holds up very well.,1,amz,I wear it everyday and it holds up very well,wear everyday holds well,10,"[330, 2295, 671, 15]","[ 330 2295  671   15    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2419,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,yelp,Our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,server nice even though looked little overwhelmed needs stayed professional friendly end,26,"[281, 30, 17, 150, 577, 78, 1357, 654, 1358, 1359, 93, 161]","[ 281   30   17  150  577   78 1357  654 1358 1359   93  161    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
496,Works as described.,1,amz,Works as described,works described,3,"[27, 2296]","[  27 2296    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
728,It has everything I need and I couldn't ask for more.,1,amz,It has everything I need and I couldnt ask for more,everything need couldnt ask,11,"[67, 318, 116, 448]","[ 67 318 116 448   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1021,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1,imdb,In other words the content level of this film is enough to easily fill a dozen other films  ,words content level film enough easily fill dozen films,18,"[683, 2297, 578, 6, 54, 346, 1360, 1197, 82]","[ 683 2297  578    6   54  346 1360 1197   82    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1640,"But it is entertaining, nonetheless.  ",1,imdb,But it is entertaining nonetheless  ,entertaining nonetheless,5,"[934, 2298]","[ 934 2298    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
445,"I searched the Internet, and found this one to be the best value.",1,amz,I searched the Internet and found this one to be the best value,searched internet found one best value,13,"[2299, 475, 133, 7, 22, 418]","[2299  475  133    7   22  418    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1695,Highly recommended A+  ,1,imdb,Highly recommended A  ,highly recommended,3,"[145, 364]","[145 364   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2722,"The food was great as always, compliments to the chef.",1,yelp,The food was great as always compliments to the chef,food great always compliments chef,10,"[9, 3, 129, 1265, 815]","[   9    3  129 1265  815    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2658,It was just not a fun experience.,1,yelp,It was just not a fun experience,fun experience,7,"[273, 70]","[273  70   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1776,Why was this film made?  ,0,imdb,Why was this film made  ,film made,5,"[6, 28]","[ 6 28  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,amz,I am very impressed with the job that Motorola did on the sturdiness of this phone,impressed job motorola sturdiness phone,16,"[127, 213, 319, 2300, 5]","[ 127  213  319 2300    5    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1519,Final Word: This Show is a real torture!!  ,0,imdb,Final Word This Show is a real torture  ,final word show real torture,8,"[711, 555, 176, 79, 712]","[711 555 176  79 712   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2993,the presentation of the food was awful.,0,yelp,the presentation of the food was awful,presentation food awful,7,"[1361, 9, 149]","[1361    9  149    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1008,A bit predictable.  ,0,imdb,A bit predictable  ,bit predictable,3,"[270, 348]","[270 348   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2176,The service here leaves a lot to be desired.,0,yelp,The service here leaves a lot to be desired,service leaves lot desired,9,"[13, 1343, 80, 2301]","[  13 1343   80 2301    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
